Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,0.000000,11.625000,11.375000,11.375000,5.272727,5600
1981-10-28,0.000000,11.625000,11.375000,11.375000,5.272727,6000
1981-10-29,0.000000,11.625000,11.375000,11.375000,5.272727,20400
1981-10-30,0.000000,11.625000,11.375000,11.375000,5.272727,1000
1981-11-02,0.000000,11.750000,11.375000,11.375000,5.272727,4200
1981-11-03,0.000000,11.625000,11.375000,11.375000,5.272727,3200
1981-11-04,0.000000,11.625000,11.375000,11.375000,5.272727,6400
1981-11-05,0.000000,11.625000,11.375000,11.375000,5.272727,6800
1981-11-06,0.000000,11.625000,11.375000,11.375000,5.272727,3400
1981-11-09,0.000000,11.875000,11.500000,11.500000,5.330666,4600
1981-11-10,0.000000,12.000000,11.625000,11.625000,5.388613,3600
1981-11-11,0.000000,12.000000,11.625000,11.625000,5.388613,200
1981-11-12,0.000000,12.000000,11.625000,11.625000,5.388613,1400
1981-11-13,0.000000,12.250000,11.750000,11.750000,5.446559,12600
1981-11-16,0.000000,12.250000,11.875000,11.875000,5.504494,2200
1981-11-17,0.000000,12.125000,11.875000,11.875000,5.504494,7800
1981-11-18,0.000000,12.125000,11.875000,11.875000,5.504494,1800
1981-11-19,0.000000,12.125000,11.875000,11.875000,5.504494,1200
1981-11-20,0.000000,12.250000,11.875000,11.875000,5.504494,6400
1981-11-23,0.000000,12.125000,11.875000,11.875000,5.504494,2400
1981-11-24,0.000000,12.250000,12.000000,12.000000,5.562439,7200
1981-11-25,0.000000,12.500000,12.125000,12.125000,5.620380,6400
1981-11-27,0.000000,12.500000,12.125000,12.125000,5.620380,3400
1981-11-30,0.000000,12.625000,12.375000,12.375000,5.736265,5000
1981-12-01,0.000000,12.750000,12.375000,12.375000,5.736265,2000
1981-12-02,0.000000,12.750000,12.375000,12.375000,5.736265,600
1981-12-03,0.000000,12.750000,12.375000,12.375000,5.736265,2200
1981-12-04,0.000000,12.750000,12.375000,12.375000,5.736265,2000
1981-12-07,0.000000,12.625000,12.250000,12.250000,5.678324,600
1981-12-08,12.250000,12.250000,12.250000,12.250000,5.678324,0
1981-12-09,0.000000,12.625000,12.250000,12.250000,5.678324,13400
1981-12-10,0.000000,12.750000,12.375000,12.375000,5.736265,1000
1981-12-11,0.000000,12.625000,12.250000,12.250000,5.678324,3000
1981-12-14,0.000000,12.375000,12.000000,12.000000,5.562439,2800
1981-12-15,0.000000,12.375000,12.000000,12.000000,5.562439,400
1981-12-16,0.000000,12.250000,11.875000,11.875000,5.504494,2600
1981-12-17,0.000000,12.250000,12.000000,12.000000,5.562439,200
1981-12-18,0.000000,12.250000,12.000000,12.000000,5.562439,600
1981-12-21,0.000000,12.500000,12.125000,12.125000,5.620380,6400
1981-12-22,0.000000,12.750000,12.375000,12.375000,5.736265,1200
1981-12-23,0.000000,12.625000,12.375000,12.375000,5.736265,4800
1981-12-24,0.000000,12.625000,12.375000,12.375000,5.736265,600
1981-12-28,0.000000,12.625000,12.375000,12.375000,5.736265,1000
1981-12-29,0.000000,12.625000,12.375000,12.375000,5.736265,3200
1981-12-30,12.375000,12.375000,12.375000,12.375000,5.736265,0
1981-12-31,0.000000,12.625000,12.375000,12.375000,5.736265,200
1982-01-04,0.000000,12.625000,12.375000,12.375000,5.736265,400
1982-01-05,0.000000,12.500000,12.250000,12.250000,5.678324,2400
1982-01-06,0.000000,12.000000,11.625000,11.625000,5.388613,3600
1982-01-07,0.000000,12.000000,11.750000,11.750000,5.446559,200
